
="",="(1)",="(2)",="(3)",="(4)"
="",="Full Sample",="Kibaha",="Bagamoyo",="Chamwino"

="Annual non-food consumption value (USD) (Winsorized 0.05)",="46.73",="18.63",="61.50",="51.17"
="",="",="",="",=""

="Annual food consumption value (USD) (Winsorized 0.05)",="227.85",="128.61",="281.52",="241.24"
="",="",="",="",=""

="Area farmed in acres (Winsorized 0.05)",="1.81",="1.79",="1.82",="1.80"
="",="",="",="",=""

="Any member can read/write",="0.54",="0.37",="0.61",="0.58"
="",="",="",="",=""

="Any member sick in the lasy 4 weeks",="0.44",="0.46",="0.44",="0.43"
="",="",="",="",=""

="Average sick days",="10.61",="10.31",="10.09",="11.74"
="",="",="",="",=""

="Total cost of treatment (USD)",="1.57",="1.26",="1.28",="2.32"
="",="",="",="",=""

="Observations",="1758",="484",="769",="505"

="Mean with standard devaitions in parenthesis."
